10/1/1999,1.39,0.22,1.04,1.73,2.16,0.74,-3.18,1.81
11/1/1999,0.7,0.82,0.35,-0.3,1.75,0.91,2.44,-4.82
12/1/1999,1.3,1.56,2.04,1.55,0.52,0.78,4.4,-0.52
1/1/2000,0.9,0.96,3.09,1.9,0.47,0.97,9.24,2.35
2/1/2000,2.59,1.42,0.51,0.42,0.15,0.54,-2.42,0.01
3/1/2000,3.37,0.79,2.3,0.49,3.52,0.57,4.43,-2.1
4/1/2000,3.46,2.24,0.6,0.15,0.05,-0.15,-2.45,-1.31
5/1/2000,3.57,1.44,-0.73,-1.32,1.81,0.93,-5.35,-2.28
6/1/2000,1.94,1.46,0.02,0,0.68,0.02,2.32,0.58
7/1/2000,1.97,1.82,1.94,2.02,1.43,0.93,1.32,-1.12
8/1/2000,1.46,1.23,0.5,-0.24,1.58,0.55,1.81,-2.05
9/1/2000,1.69,1.43,1.71,1.77,1.57,0.67,2.92,1.23
10/1/2000,2.02,-0.14,0.61,-0.31,1.01,0.75,-0.87,-3.34
11/1/2000,1.09,0.81,-0.05,-0.09,0.35,0.29,1.26,0.76
12/1/2000,-0.47,0.28,-0.77,-1.06,0.28,0.7,3.63,6.68
1/1/2001,0.44,1.28,0.42,0.14,1.39,0.32,5.05,7.76
2/1/2001,2.68,2.13,2.46,2.89,1.91,1.42,3.32,-0.03
3/1/2001,2.12,0.89,1.59,1.92,1.49,0.53,0.99,0.15
4/1/2001,1.42,0.92,0.12,1.38,0.33,0.24,2.74,4.88
5/1/2001,1.22,1.44,0.93,0.99,0.5,1.32,0.69,-5.49
6/1/2001,0.69,0.64,1.1,2.42,1.31,0.52,2.14,0.83
7/1/2001,0.13,0.29,1.03,2.65,-0.43,0.5,1.03,-0.84
8/1/2001,1.08,0.22,0.47,1,0.68,0.91,0.69,0.15
9/1/2001,1.5,1.01,1.55,1.25,1.01,0.64,1,2.52
10/1/2001,0.74,-0.05,-1.54,-0.79,-2.65,0.18,1.17,3.65
11/1/2001,1.11,0.72,1.35,2.35,-0.01,1.55,1.18,3.4
12/1/2001,0.71,0.82,0.85,0.76,0.81,-0.27,-0.37,-8.62
1/1/2002,0.32,-0.08,1.07,1.62,0.67,0.23,2.47,2.15
2/1/2002,1.12,0.12,1.18,1.58,0.29,1.03,2.64,-1.27
3/1/2002,-3.15,0.03,-0.34,-0.63,-1.22,0.87,0.52,-2.4
4/1/2002,-0.02,0.8,1.19,1.23,1,0.63,-0.19,-0.91
5/1/2002,1.21,0.53,0.74,0.89,0.88,1.35,1.7,-1.61
6/1/2002,0.23,1.29,0.12,0.19,0.03,1.44,0.78,3.51
7/1/2002,-0.33,0.52,-2.93,-3.79,-1.17,0.65,1.42,8.63
8/1/2002,-1.55,1.84,-3.1,-4.27,-2.73,1.08,2.15,6.12
9/1/2002,0.6,0.57,0.27,0.28,-1.23,1.23,1.22,3.36
10/1/2002,1.37,-0.03,-0.2,-0.25,-0.56,-1.14,0.76,4.11
11/1/2002,1.03,0.41,-0.18,-0.72,0.52,-2.27,0.72,-5.03
12/1/2002,1.92,0.31,2.57,3.91,0.21,-0.53,1.23,-2.09
1/1/2003,1.66,0.82,0.99,1.17,0.53,1.32,0.85,5.5
2/1/2003,3.02,0.31,2.27,3.12,-0.39,1.26,2.03,6.07
3/1/2003,1.39,-0.06,0.63,0.89,-0.71,0.99,1.87,6.43
4/1/2003,0.95,0.79,1.01,1.19,-0.27,0.42,-0.66,-6.1
5/1/2003,1.42,0.4,2.51,3.27,1.52,1.25,2.16,1.39
6/1/2003,1.76,1.22,2.35,2.27,2.56,1.28,2.96,5.14
7/1/2003,-0.62,0.46,1.8,2.63,0.75,0.34,1.63,-2.21
8/1/2003,-0.35,0.68,0.95,1.14,0.48,-0.98,-0.11,-2.75
9/1/2003,-0.91,0.06,0.86,1.02,1.16,0.21,1.3,1.06
10/1/2003,1.97,1.06,1.8,2.21,0.95,1.16,3.04,-1.6
11/1/2003,1.67,0.67,1.53,1.98,1.21,0.46,0.09,0.78
